Store,Dept,Date,Weekly_Sales,IsHoliday
34,95,2011-12-23,77388.88,False
3,52,2011-06-17,700.16,False
17,23,2010-10-29,16391.75,False
6,40,2011-08-19,59989.92,False
21,36,2011-06-10,5421.0,False
42,10,2011-11-11,444.99,False
17,42,2010-10-29,3505.9,False
24,29,2012-07-13,5906.26,False
1,54,2011-06-10,25.0,False
24,27,2012-08-31,1849.96,False
42,91,2011-04-15,47632.6,False
7,22,2010-12-31,11924.89,True
26,52,2012-01-06,946.36,False
42,17,2012-06-01,477.99,False
16,79,2011-04-29,4412.42,False
14,29,2010-12-31,8824.53,True
8,37,2012-04-06,2168.58,False
34,95,2011-08-12,78297.33,False
22,55,2011-06-10,5874.18,False
37,94,2010-02-19,35479.05,False
15,49,2010-09-24,8496.21,False
39,16,2012-02-24,24566.79,False
11,32,2011-05-13,13303.66,False
16,91,2011-01-14,1423.0,False
8,35,2011-11-25,2115.77,True
32,4,2011-10-14,27583.56,False
5,41,2011-10-28,1334.5,False
31,79,2010-07-16,33511.91,False
16,27,2010-05-21,511.5,False
42,11,2011-09-30,478.35,False
22,9,2012-08-31,22537.35,False
20,67,2010-07-23,13046.61,False
29,71,2011-10-28,2420.37,False
13,96,2012-01-06,9357.73,False
2,30,2012-08-03,3775.38,False
20,91,2010-05-21,78218.39,False
2,60,2010-10-08,7.0,False
41,40,2010-12-10,50032.43,False
37,3,2010-08-27,2808.32,False
16,56,2011-06-03,34296.64,False
3,91,2010-12-03,153.07,False
19,12,2011-09-16,7062.0,False
39,16,2012-01-27,13004.51,False
15,80,2010-10-15,34.8,False
38,83,2011-07-01,2349.21,False
12,34,2011-10-07,18838.04,False
7,20,2011-04-22,2398.57,False
8,25,2012-04-13,6836.08,False
37,9,2010-07-23,146.22,False
39,42,2011-11-18,3737.72,False
14,21,2010-07-02,10838.98,False
38,4,2010-05-07,10207.5,False
45,28,2011-08-26,245.64,False
19,93,2012-08-17,36007.27,False
16,27,2011-02-04,560.41,False
4,13,2011-09-30,69313.8,False
10,33,2012-07-20,23679.09,False
11,85,2011-07-29,2040.91,False
34,40,2011-11-11,40102.48,False
5,6,2010-09-03,1637.39,False
45,32,2010-07-30,4903.72,False
18,35,2011-11-04,3264.89,False
28,45,2011-04-22,20.94,False
1,4,2012-06-22,37400.31,False
26,92,2010-06-18,73851.16,False
5,56,2010-07-02,116.9,False
31,54,2011-10-14,9.24,False
30,82,2012-04-27,4910.7,False
4,28,2011-06-10,827.6,False
9,5,2011-04-01,17952.34,False
27,81,2011-01-21,29934.41,False
4,96,2011-03-25,32080.15,False
15,3,2012-02-03,8240.61,False
43,85,2010-02-12,187.54,True
4,52,2011-08-12,2608.6,False
29,59,2012-04-13,138.99,False
30,59,2010-10-01,183.76,False
38,2,2011-07-01,10856.56,False
